"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"293","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"295","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"297","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"296","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"294","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"301","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7206931702344547"
"302","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6615698267074414"
"298","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"303","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7655453618756372"
"299","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"300","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"304","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7533129459734964"
"305","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7910295616717635"
"306","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.9276248725790011"
"307","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.9235474006116208"
"308","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8634046890927625"
"310","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6391437308868502"
"314","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8583078491335372"
"313","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8878695208970439"
"312","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8389398572884812"
"311","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.5474006116207951"
"309","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7859327217125383"
"315","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.48216106014271154"
"317","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.9255861365953109"
"316","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6819571865443425"
"318","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8501529051987767"
"319","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6788990825688074"
"320","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6309887869520897"
"321","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8379204892966361"
"323","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8837920489296636"
"322","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6044852191641182"
"325","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.9317023445463812"
"324","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6615698267074414"
"327","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6462793068297655"
"329","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8053007135575942"
"328","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6972477064220184"
"326","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6819571865443425"
"330","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8419979612640163"
"331","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7370030581039755"
"332","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8766564729867482"
"333","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8450560652395515"
"336","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.8521916411824668"
"335","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7359836901121305"
"334","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7981651376146789"
"337","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.6075433231396534"
"338","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7787971457696228"
"339","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.9184505606523955"
"340","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.7227319062181448"
